id,thoughts
1050360104_1,left two...lower confidence class
1050360105_21,first second fourth?
1050360105_23,just two highest
1050360108_5,couldn't decide...ambiguous
1050360111_3,can't see
1050360111_6,just far right...lower confidence class
1050360112_3,just far right
1050360113_0,just far right
1050360113_1,just far right
1050360113_2,just far right
1050360113_4,just far right
1050360115_22,apply try ignore
1050360115_3,apply try ignore prob reject though
1050360115_7,couldn't decide...ambiguous
1050360116_0,apply try ignore
1050360116_9,apply try ignore
1050360117_0,apply try ignore
1050360117_3,left apply try ignore
1050360117_4,apply try ignore
1050360117_6,apply try ignore likely reject
1050360119_0,can't see
1050360119_1,try ignore may work
1050360119_3,include
1050360119_4,just far right
1050360119_5,can't see
1050360120_1,try ignore far right
1050360120_3,reject
1050360120_4,reject
1130360103_3,just middle
1130360105_1,just middle
1130360105_3,maybe just middle
1130360106_0,just middle
1130360106_1,just middle
1130360108_2,just middle
1130360110_0,just middle
1130360110_1,just middle? right is tempting
1130360110_3,just right
1130360110_5,apply try ignore
1130360113_0,just the right

